query,keywords
user evaluation or user rating of Open StreetMap Objects,Open;user evaluation;user rating;Open StreetMap Objects
a public dataset with user reviews/ratings of places stored in OpenStreetMap,public;reviews;ratings;places;OpenStreetMap
OpenStreetMap with users public dataset,public;OpenStreetMap;users
public dataset with user reviews/ratings of places stored in OpenStreetMap,public;user reviews;ratings;places;OpenStreetMap
 public dataset with user reviews/ratings of places stored in OpenStreetMap£¬ user ratings to OpenStreetMap Objects,public;user reviews;ratings;places;OpenStreetMap£¬;user ratings;OpenStreetMap
datasets of street coordinates,street coordinates
datset contains spatial coordinates and the textual description of many objects,textual;spatial coordinates;textual description;objects
"spatial coordinates, textual description of many objects, evaluation , rating",spatial coordinates;textual description;many objects;evaluation;rating
raw data of violent crime stats involving guns,violent crime;guns
raw data about violent crime stats involving guns,violent crime;guns
raw data that contain violent crime stats involving guns,violent crime;guns
datasets contain violent crime stats involving guns,violent crime;guns
 violent crime stats involving guns datasets,violent crime;guns
"raw data,violent crime stats involving guns",violent crime;guns
contain violent crime stats involving guns£¬prefer raw data that I can aggregate,violent crime;guns
datasets contains violent crime stats involving guns,violent crime;guns
datasets that contain violent crime stats involving guns,violent crime;guns
"violent crime stat, gun, raw data",violent crime;gun
"real social network dataset likes, friendship, interest, feeling, places",social network;friendship;interest;feeling;places
real social network dataset,social network
"real social network dataset that contains comments, ,comments on comment, likes, friendship, interest, feeling,etc",social network;comments;comments on comment;likes;friendship;interest;feeling
"real social network dataset, include comments,likes, friendship, interest, feeling, places,liked pages, published photos, videos, posts",social network;comments;friendship;interest;feeling;places;liked pages;published photos;videos;posts
real world social network dataset,social network
"open social network dataset,comments, ,comments on comment, likes, friendship, interest, feeling, places,liked pages, published photos, videos, posts",open;social network;comments;comments on comment;likes;friendship;interest;feeling;places;liked pages;published photos;videos;posts
"a ""real social network dataset"" not just about nodes and edges",social network
 social network dataset,social network
real social network datasets with anything positive,social network;positive
"comments, ,comments on comment, likes, friendship, interest, feeling, places,liked pages, published photos, videos, posts, hashtags",comments;comments on comment;likes;friendship;interest;feeling;places;liked pages;published photos;videos;posts;hashtags
large 2d floor plan dataset,2d floor plan
2d floor plan dataset around 500 images,images;500;2d floor plan
2d floor plan dataset,2d floor plan
"2d floor plan dataset for annotation,  around 500 of 2d floor images(.jpg)dataset",images;jpg;500;2d floor plan
large scale 2d floor plan dataset,2d floor plan
around 500 of 2d floor images(.jpg)dataset,jpg;500;2d floor images
a big dataset contains 2d floor plan dataset for annotation,2d floor plan
2d floor plan dataset,2d floor plan
2d floor plan datasets with annotations,2d floor plan;annotations
"2d floor plan, big , image",image;2d floor plan
dataset of vehicles from aerial view itcvd,vehicles;aerial view
dataset of vehicles from aerial view in Vehicle Detection in Aerial Images,Aerial Images;vehicles;aerial view
" dataset of  vehicles from aerial view called ""itcvd""",vehicles;aerial view
"dataset for paper ""Vehicle Detection in Aerial Images"", a dataset of vehicles from aerial view ",Aerial Images;vehicles;aerial view
 a dataset of  vehicles from aerial view calleditcvd,vehicles;aerial view
Aerial articleVehicle Detection dataset,Aerial articleVehicle Detection
the dataset of vehicles from aerial view calleditcvd In the articleVehicle Detection in Aerial Imagesthe,vehicles;aerial view
dataset of vehicles from aerial view calleditcvd,vehicles;aerial view
datasets of vehicles for article vehicle detection,vehicles;vehicle detection
"Image, aerial view, Vehicle",Image;aerial view;Vehicle
Lorem Ipsum Credit Card fake data,Lorem Ipsum Credit Card
Lorem Ipsum Credit Card Dataset,Lorem Ipsum Credit Card
"Lorem Ipsum Credit Card Dataset that  resemble legitimate data but contains no real numbers, name and addresses.",Lorem Ipsum Credit Card;legitimate;real numbers;name;addresses
"Lorem Ipsum Credit Card Dataset,  legitimate data, junk data, No real numbers, no real names or addresses",Lorem Ipsum Credit Card;legitimate;junk;real numbers;real names;addresses
"Fake Lorem Ipsum Credit Card Dataset,more than 300 entries",300;Lorem Ipsum Credit Card
Lorem Ipsum Credit Card Dataset,Lorem Ipsum Credit Card
"a Lorem Ipsum Credit Card Dataset of junk data, which has at least 300 entries ",300;Lorem Ipsum Credit Card;junk
Lorem Ipsum Credit Card Dataset,Lorem Ipsum Credit Card
credit card datasets with legitimate but junk data,credit card;legitimate;junk
"Lorem Ipsum Credit Card, legitimate,300 entries",300;Lorem Ipsum Credit Card;legitimate
"product dataset pictures, product description, category and dimensions meta-data Amazon",pictures;product;description;category;dimensions meta-data
"featured product dataset including pictures, description, category and dimensions meta-data",pictures;product;pictures;description;category;dimensions meta-data
"richly featured product data including the pictures, product description, category and dimensions meta-data etc.",pictures;product;pictures;description;category;dimensions meta-data
"richly featured product dataset, e.g. the catalog of Amazon or Walmart, include pictures, product, category",pictures;product;pictures;product;category
"product dataset,with pictures, product description, category and dimensions meta-data",pictures;product;pictures;description;category;dimensions meta-data
commercial richly featured product dataset,product
"a richly featured product dataset including the pictures, product description, category and dimensions meta-data",pictures;product;pictures;description;category;dimensions meta-data
"dataset including the pictures, product description, category and dimensions meta-data ",pictures;pictures;description;category;dimensions meta-data
richly featured product dataset from Amazon or Walmart,product
"richly featured product, pictures, product description, category, dimensions meta-data",pictures;product;pictures;description;category;dimensions meta-data
weather dataset with solar radiance and solar energy production,weather;solar radiance;solar energy production
weather dataset with solar radiance and solar energy production,weather;solar radiance;solar energy production
"weather dataset with solar radiance and solar energy production data for same location, including temperature, wind, radiation,dew point etc",weather;solar radiance;solar energy production;temperature;wind;radiation;dew point
"weather dataset with solar radiance and solar energy production data for same location, include dew point",weather;solar radiance;solar energy production;dew point
"a weather dataset with solar radiance and solar energy production data for same location,dew point",weather;solar radiance;solar energy production;dew point
weather dataset with solar data from same location ,weather;solar
a weather dataset with solar radiance and solar energy production data for same location,weather;solar radiance;solar energy production
 weather dataset with solar radiance and solar energy production data for same location,weather;solar radiance;solar energy production
weather dataset with solar radiance and solar energy production,weather;solar radiance;solar energy production
"weather , solar radiance, solar energy,  dew point, temperature, wind, radiation",weather;solar radiance;solar energy;dew point;temperature;wind;radiation
bananas or sunflowers crops production along the world,bananas;sunflowers;production
datasets about bananas or sunflowers crops in the world,bananas;sunflowers
"related info with bananas or sunflowers crops along the world, including production data,fenology, irrigation,type of ground and localization ",bananas;sunflowers;production;fenology;irrigation;type of ground and localization
"dataset about bananas or sunflowers crops include Production, Production, Irrigation, type of ground, localization",bananas;sunflowers;Production;Production;Irrigation;type of ground;localization
"ananas or sunflowers crops,Production data (most important);Fenology;  Irrigation; Type of ground Localization",ananas;sunflowers;Production;Fenology;Irrigation;Type of ground Localization
banana or sunflower crops' datasets,banana;sunflower
datasets with related info with bananas or sunflowers crops along the world,bananas;sunflowers
datasets with related info with bananas or sunflowers crops along the world,bananas;sunflowers
bananas or sunflowers crops datasets,bananas;sunflowers
"bananas, sunflowers crops, Production data, Fenology, Irrigation, type of ground, localization ",bananas;sunflowers;Production;Fenology;Irrigation;type of ground;localization
Google Instagram usage by country and age,Google;Instagram;usage;country;age
"facebook, twitter and Instagram usage data by country and age for years 2012-2017",2012;2017;facebook;twitter;Instagram;usage data;country;age
" social media usage by country and age for facebook, twitter and Instagram during 2012-2017",2012;2017;social media usage;facebook;twitter;Instagram
"datasets about social media usage by country and age, for facebook, twitter and Instagram for years 2012-2017",2012;2017;social media usage;country;age;facebook;twitter;Instagram
"social media usage by country and age,facebook, twitter and Instagram for years 2012-2017",2012;2017;social media usage;country;age;facebook;twitter;Instagram
social media datasets contains country and age,social media;country;age
datasets about social media usage by country and age from google,google;social media usage;country;age
datasets about social media usage by country and age,social media usage;country;age
datasets about social media usage by country and age,social media usage;country;age
"social media usage, country, age, facebook, twitter and Instagram, 2012-2017",2012;2017;social media usage;country;age;facebook;twitter;Instagram
image labeled with category intrinsic variability,image;image;category;intrinsic variability
labeled dataset containing categories of objects under same condition,categories;objects
"image dataset with a few categories of objects, the variability of each class is due to the class's intrinsic variability",image;image;categories;variability;intrinsic variability
image in a few categories and come labeled with their category,image;image;category
image categorization datasets,image;image categorization
"image dataset with types labels or categories e.g. cats and dogs, Synthetic images",image;image;types;categories
a dataset with a few categories of objects which should have all the variability within each class's intrinsic variability,categories;objects;variability;intrinsic variability
dataset with a few categories of objects e.g. cats and dogs,categories;objects
computer vision datasets for image categorization of objects,image;computer vision
"cats and dogs, image, intrinsic variability, Synthetic",image;image;intrinsic variability
English root words and synonyms open-source Thesaurus data,English;open-source;root words;synonyms;Thesaurus
open thesaurus dataset contaning root words and synonyms in english,open;english;thesaurus;root words;synonyms
 English root words and synonyms,English;root words;synonyms
"open-source Thesaurus dataset,English root words and synonyms ",open-source;English;Thesaurus;root words;synonyms
large scale open-source Thesaurus dataset,open-source;Thesaurus
open-source Thesaurus dataset about  English root words and synonyms ,open-source;English;Thesaurus;root words;synonyms
an open-source Thesaurus dataset which contains as many English root words and synonyms as possible,open-source;English;Thesaurus;root words;synonyms
open-source Thesaurus dataset  which contains as many English root words and synonyms as possible,open-source;English;Thesaurus;root words;synonyms
open-source thesaurus datasets with many English root words and synonyms,open-source;English;thesaurus;root words;synonyms
"English root word, synonyms , Thesaurus",English;root word;synonyms;Thesaurus
 forecasted weather data in the Netherlands,Netherlands;forecasted weather
forecasted weather data of The Netherlands,Netherlands;forecasted weather
historical forecasted weather data,forecasted weather
forecasted weather data in The Netherlands,Netherlands;forecasted weather
 forecasted weather datasets,forecasted weather
"forecasted weather data with geographical area in The Netherlands, e.g. the forecasted temperature on March 5 2015",Netherlands;March 5 2015;forecasted weather;geographical;forecasted temperature
datasets which have forecasted weather data in Netherlands,Netherlands;forecasted weather
forecasted weather dataset,forecasted weather
forecasted weather datasets,forecasted weather
forecasted weather,forecasted
"massachusetts childcares with addresses or coordinates kml,geojson csv/xlsx",massachusetts;kml;geojson;csv;xlsx;childcares;addresses;coordinates
massachusetts childcares data with addresses or coordinates,massachusetts;childcares;addresses;coordinates
massachusetts childcares data,massachusetts;childcares
"massachusetts childcares,addresses or coordinates,spatial ",massachusetts;childcares;addresses;coordinates
 massachusetts childcares datasets contains addresses or coordinates,massachusetts;childcares;addresses;coordinates
massachusetts childcares data with  addresses or coordinates,massachusetts;childcares;addresses;coordinates
massachusetts childcares which ignore format as long as it has addresses or coordinates,massachusetts;childcares;addresses;coordinates
massachusetts childcares dataset,massachusetts;childcares
massachusetts childcares. datasets,massachusetts;childcares
"massachusetts childcare, addresses or coordinates",massachusetts;childcare;addresses;coordinates
public datasets with positive and negative sentiment labels,public;positive;negative;sentiment
public sentiment datasets labelled with positive and negative,public;sentiment;positive;negative
public datasets with positive and negative sentiment labels,public;positive;negative;sentiment
 positive and negative sentiment labels,positive;negative;sentiment
public binary labeled sentiment datasets,public;binary labeled;sentiment
 public datasets with positive and negative sentiment labels.,public;positive;negative;sentiment
public datasets with positive and negative sentiment labels,public;positive;negative;sentiment
datasets with positive and negative sentiment labels.,positive;negative;sentiment
publics datasets contains sentiment labels,publics;sentiment
positive and negative sentiment labels,positive;negative;sentiment
"annotated data ""action items"", ""decisions"", ""reminder""",action items;decisions;reminder
"meeting dataset containing annotations like action items, decisions and reminder",meeting;action items;decisions;reminder
"meeting dataset containing annotations like ""action items"", ""decisions"", ""reminder""",meeting;action items;decisions;reminder
"a meeting dataset containing annotations:""action items"", ""decisions"", ""reminder"" ",meeting;action items;decisions;reminder
meeting dataset contains annotation label,meeting
" a meeting dataset containing annotations like ""action items"", ""decisions"", ""reminder"" ",meeting;action items;decisions;reminder
"a meeting dataset containing annotations like ""action items"", ""decisions"", ""reminder"" and labels similar to them",meeting;action items;decisions;reminder
"dataset containing annotations like ""action items"", ""decisions"", ""reminder"" and labels similar to them",action items;decisions;reminder
politics meeting datasets,politics meeting
"action items, decisions, reminder, meeting",action items;decisions;reminder;meeting
SMS dataset for all the brands available transactional messages,SMS;brands;transactional messages
dataset with SMS messages from brands,SMS messages;brands
"SMS dataset for all the brands,specifically their transactional messages",SMS;brands;transactional messages
"brand specific messages,SMS dataset,transactional messages",brand;SMS;transactional messages
brand datasets with specific description,brand;description
"dataset which has brand specific messages for all the brands, e.g.  transactional SMS messages to  communicate with their customers",brand specific messages;brands;transactional SMS messages
dataset which has brand specific messages,brand specific messages
 dataset which has brand specific messages,brand specific messages
datasets of brand specific messages,brand specific messages
"brand specific, transactional messages, SMS",brand specific;SMS
reviews (comments) about doctors / lecturers / politicians,reviews;comments;doctors;lecturers;politicians
dataset of reviews or comments about people,reviews;comments;people
 reviews or comments about people ,reviews;comments;people
reviews (comments) about people (eg: doctors / lecturers / politicians) ,reviews;comments;people;doctors;lecturers;politicians
people description datasets,people description
 reviews (comments) about people (eg: doctors / lecturers / politicians) ,reviews;comments;people;doctors;lecturers;politicians
a data set which contains reviews (comments) about people,reviews;comments;people
 dataset which contains reviews (comments) about peopl,reviews;comments;peopl
datasets contains reviews about people,reviews;people
"reviews, comments,  doctors, lecturers, politicians",reviews;comments;doctors;lecturers;politicians
music data in symbolic form,symbolic form;music
music data in symbolic form,symbolic form;music
music in symbolic form(not the sound),symbolic form;music
"music in symbolic form,audio format",symbolic form;audio;music
symbolic form music data,symbolic form;music
"music data in symbolic form with the notes, format like MIDI or MusicXML",symbolic form;MIDI;MusicXML;music;notes
a dataset which contains music information in symbolic form regardless format,symbolic form;music
The Million Song Dataset ,The Million Song
music datasets in audio format,audio;music
"music, symbolic form, MIDI or MusicXML",symbolic form;MIDI;MusicXML;music
number of teachers belonging to a union for each county in Florida,Florida;teachers
number of teachers belonging to a union for each country in Florida,Florida;teachers
 the number of teachers belonging to a union for each county in Florida.,Florida;teachers
dataset about the number of teachers belonging to a union for each county in Florida,Florida;teachers
florida union teacher datasets,florida;teacher
 data on the number of teachers belonging to a union for each county in Florida,Florida;teachers
dataset on the number of teachers belonging to a union for each county in Florida,Florida;teachers
dataset on the number of teachers belonging to a union for each county in Florida.,Florida;teachers
datasets of teachers numbers in Florida,Florida;teachers
"teachers, Florida, county, union",Florida;teachers
authentication pattern along with timestamp,authentication pattern;timestamp
dataset containing authentication pattern with time,authentication pattern;time
"authentication pattern along with the time, including attempt time and password",authentication pattern;time;attempt time;password
"authentication pattern,time,application,password ",authentication pattern;time;application;password
" data containing authentication pattern along with the time, also contain the application of each attempt made to",authentication pattern;time;application;attempt
authentication dataset contains time,authentication dataset;time
data containing authentication pattern along with the time  which should at least contain time,authentication pattern;time
dataset containing authentication pattern along with the time.,authentication pattern;time
datasets of authentication pattern along with the time,authentication pattern;time
"authentication pattern, timestamp, application , password ",authentication pattern;timestamp;application;password
datasets of tumor cells growth from test labs,tumor cells
open data of tumor cells growth,open;tumor cells
"tumor cells growth dataset. we rather need a dataset from test labs, like tumor growth data in mice, rats etc.",tumor cells;tumor growth
"the datasets of tumor cells growth of animals  from test labs,tumor growth data in mice, rats",tumor cells;tumor growth
"real  datasets of tumor cells growth,  from test labs, like tumor growth data in mice, rats",tumor cells;tumor growth
datasets of tumor cells growth from lab,tumor cells
"datasets of tumor cells growth which from test labs, like tumor growth data in mice, rats",tumor cells;tumor growth
datasets of tumor cells growth,tumor cells
"tumor growth, unrestricted , mice",tumor
real mathematical model of tumor growth datasets,mathematical model;tumor
openly available standard dataset of English alphabets,openly;available;English;alphabets
open handwritten English alphabets dataset,open;English;handwritten;alphabets
open source handwritten English alphabets dataset,open source;English;handwritten;alphabets
"Handwritten Character,English characters,standard data set,free",English;free;Handwritten Character;characters
dataset of  English characters (both digits and alphabets) for Handwritten Character Recognition,English;characters;digits;alphabets;Handwritten Character Recognition
Handwritten Character dataset for English,English;Handwritten Character
standard data set of English alphabets which can be used for testing the Handwritten Character Recognition system regardless isNISTandCEDARhandwritten,English;alphabets;Handwritten Character Recognition
Handwritten Character Recognition dataset,Handwritten Character Recognition
"Handwritten, English characters, digits , alphabets",English;Handwritten;characters;digits;alphabets
English Handwritten Character Recognition datasets,English;Handwritten Character Recognition
names mapped to geographical location,names;mapped;geographical location
dataset mapping names to geographical location,mapping;names;geographical location
"datasets that map names (given names, family names) to geographical location",map;names;given names;family names;geographical location
"people names,geographical location",names;geographical location
"datasets allowing one to map names (given names, family names) to geographical location",map;names;given names;family names;geographical location
map dataset relative its' names to geographical location,map;names;geographical location
datasets allowing one to map names to geographical location regardless of Wiki/DBpedia,Wiki;DBpedia;map;names;geographical location
"datasets allowing one to map names (given names, family names) to geographical location. ",map;names;given names;family names;geographical location
"geographical location, names ",geographical location;names
names to geographical location mapping datasets,names;geographical location;mapping
"countries, cities, villages, airports, cafes gps coordinates csv list",csv;countries;cities;villages;airports;cafes;gps coordinates
"dataset about structured places like countries, cities, villages, airports and cafes",structured places;countries;cities;villages;airports;cafes
"list of all countries, cities,villages, airports, cafes, etc. and their gps coordinates",countries;cities;villages;airports;cafes;gps coordinates
"place,countries, cities,villages, airports, cafes,gps coordinates",place;countries;cities;villages;airports;cafes;gps coordinates
" a large dataset about countries, cities,villages, airports, cafes, with  country, city, gps coordinates",countries;cities;villages;airports;cafes;country;city;gps coordinates
large scale location datasets with coordinates,location;coordinates
"a dataset which includes all countries, cities, villages, airports, cafes, ",countries;cities;villages;airports;cafes
"countries, cities,villages, airports, cafes dataset",countries;cities;villages;airports;cafes
"csv, huge, countries, cities,villages, airports, cafes, gps coordinates",csv;countries;cities;villages;airports;cafes;gps coordinates
huge lists of locations datasets,locations
professional American English sports commentary,American;English;sports commentary
datasets of professional American English sports commentary,American;English;sports commentary
" professional American English sports commentary,",American;English;sports commentary
"professional American English sports commentary,text or voice",American;English;text;voice;sports commentary
datasets of professional American English sports commentary such as that of John Madden,American;English;sports commentary
professional American English sports comment datasets,American;English;sports comment
"datasets of professional American English sports commentary which can be any sport,especially text ",American;English;text;sports commentary
datasets about  professional American English sports commentary ,American;English;sports commentary
"professional American English sports commentary, text , NFL, NBA, MLB",American;English;text;sports commentary;NFL;NBA;MLB
datasets of professional American English sports commentary ,American;English;sports commentary
black perceptions of racism/racial tension as a form of stress,black perceptions;racism/racial tension
dataset about black perceptions of racism/racial tension,black perceptions;racism/racial tension
black perceptions of racism/racial tension,black perceptions;racism/racial tension
black perceptions of racism/racial tension as a form of stress,black perceptions;racism/racial tension
dataset about maternal mortality rates among black women,maternal mortality rates;black women
black with racism comments datasets,black;racism comments
dataset about maternal mortality rates among black women,maternal mortality rates;black women
dataset about black  perceptions of racism/racial tension as a form of stress,black  perceptions;racism/racial tension
"racism/racial tension, black, stress",racism/racial tension;black
datasets of analysis of maternal mortality rates among black women,maternal mortality rates;black women
sales of delivery food on weekends after the bigger Netflix releases,sales;delivery food on weekends after the bigger Netflix releases
sales data of delivery food on weekends after the bigger Netflix releases,sales;delivery food on weekends after the bigger Netflix releases
sales of delivery food on weekends after the bigger Netflix releases. ,sales;delivery food on weekends after the bigger Netflix releases
"sales of delivery food on weekends after the bigger Netflix releases,delivery data",sales;delivery food on weekends after the bigger Netflix releases
 sales of delivery food on weekends after the bigger Netflix releases,sales;delivery food on weekends after the bigger Netflix releases
weekends sales delivery datasets ,sales;delivery
a dataset about sales of delivery food on weekends after the bigger Netflix releases,sales;delivery food on weekends after the bigger Netflix releases
delivery data by day or week ,delivery;day;week
"delivery food on weekends , Netflix , data by day",delivery food;day
delivery food on weekend analysis datasets,delivery food;analysis
" time-of-login time-of-arrival data for museum, national park",time-of-login;time-of-arrival;museum;national park
"data about time-of-login or time-of-arrival of museum, national park or any other location",time-of-login;time-of-arrival;museum;national park;location
" time-of-login or time-of-arrival data for any museum, national park",time-of-login;time-of-arrival;museum;national park
"location,time-of-login or time-of-arrival",location;time-of-login;time-of-arrival
"dataset that has time-of-login or time-of-arrival data for any museum, national park, or any other location",time-of-login;time-of-arrival;museum;national park;location
Scientific Capabilities datasets with its' time or date,Scientific Capabilities;time;date
"a dataset that has time-of-login or time-of-arrival data for any museum, national park, or any other location",time-of-login;time-of-arrival;museum;national park;location
" dataset that has time-of-login or time-of-arrival data for any museum, national park, or any other location",time-of-login;time-of-arrival;museum;national park;location
"time-of-login or time-of-arrival, museum, national park, or any other location, date-times, associated location",time-of-login;time-of-arrival;museum;national park;location;date-times;location
login or arrival time of locations datasets,login;arrival time;locations
 illegal drugs consumption through time in USA state,USA;illegal drugs consumption
dataset of illegal drugs consumption in each USA state,USA;illegal drugs consumption
 illegal drugs consumption through time in each USA state.,USA;illegal drugs consumption
" illegal drugs consumption through time,USA state",USA;illegal drugs consumption
"dataset of illegal drugs consumption through time in the USA, in each USA state.",USA;USA;illegal drugs consumption
illegal drugs consumption datasets in each USA state,USA;illegal drugs consumption
" a dataset of illegal drugs consumption through time in the USA, more precisely in each USA state",USA;USA;illegal drugs consumption
dataset of illegal drugs consumption through time in the USA,USA;illegal drugs consumption
"illegal drugs consumption , through time, USA state",USA;illegal drugs consumption
illegal drugs consumption datasets,illegal drugs consumption
Java projects which display plagiarism,Java projects;plagiarism
java projects displaying plagiarism,java projects;plagiarism
 Java projects which display plagiarism,Java projects;plagiarism
"Java projects,plagiarism,structure",Java projects;plagiarism;structure
"datasets of Java projects which display plagiarism, from direct copying to more significant obfuscation",Java projects;plagiarism
Java plagiarism projects datasets,Java plagiarism projects
datasets of Java projects which display plagiarism; from direct copying to more significant obfuscation,Java projects;plagiarism
datasets of Java projects which display plagiarism,Java projects;plagiarism
"plagiarism, java projects,  changing names, rearranging structure, and modifying inconsequential fields",plagiarism;java projects;changing names;rearranging structure;modifying inconsequential fields
datasets of Java projects which display plagiarism,Java projects;plagiarism
books and features data,books;features
dataset about books and their features,books;features
a dataset that contains books and features of those books.,books;features;books
books and features of those books,books;features;books
dataset that has books and features of those books for recommendation model,books;features;books
books profile dataset,books profile
a dataset that has books and features of those books ,books;features;books
dataset that has books and features of those books.,books;features;books
books and features,books;features
datasets contains books and features of those books,books;features;books
"images of full human bodies, pref front and side shots no blocking",images;human bodies;front;side
open dataset of full human bodies,open;human bodies
"images of full human bodies(clothes on), prefer front and side shots with no objects blocking the human.",images;human bodies;front;side
" images of full human bodies,pref front and side shots,free",images;free;human bodies;front;side
"free dataset of images of full human bodies,front and side shots, no objects blocking the human, standing with heights ",free;images;human bodies;front;side
public human image dataset,public;image;human
"a free-access dataset of images of full human bodies, pref front and side shots with no objects blocking the human",free-access;images;human bodies;front;side
"free-access dataset of images of full human bodies, pref front and side shots with no objects blocking the human. ",free-access;images;human bodies;front;side
images £¬ full human bodies£¬ pref front and side shots£¬ no objects blocking,images;human bodies;front;side
free datasets of images of full human bodies,free;images;human bodies
nutrition facts for commercial food products,nutrition;commercial food products
nutrition data for commercial food products,nutrition;commercial food products
nutrition data for commercial food products ,nutrition;commercial food products
"Nutrition Facts,table on the majority of product packaging,nutrition data for many commercial food products",table;Nutrition;nutrition;commercial food products
"datasets with nutrition data for many commercial food products (i.e. Lucky Charms, Monster Energy, Nutella, etc)",Lucky Charms;Monster Energy;Nutella;nutrition;commercial food products
nutrition datasets with  commercial food products,nutrition;commercial food products
datasets with nutrition data for many commercial food products,nutrition;commercial food products
datasets with nutrition data for many commercial food products,nutrition;commercial food products
"commercial food products, nutrition, cereals or drinks",commercial food products;nutrition
datasets with nutrition data for many commercial food products,nutrition;commercial food products
"sample/anonymized dataset of businesses or consumers purchaser, items",businesses;consumers;purchaser;items
"businesses or consumers dataset about purchaser, items and what's purchased",businesses;consumers;purchaser;items;what's purchased
" businesses or consumers data that contain details on the purchaser, items , what's purchased, and if possible leads or opportunities.",businesses;consumers;purchaser;items;what's purchased
"purchaser, items , what's purchased",purchaser;items;what's purchased
"sample/anonymized dataset of businesses or consumers along with details on the purchaser, items , what's purchased, leads or opportunities",businesses;consumers;purchaser;items;what's purchased
anonymized businesses or consumers datasets,businesses;consumers
"dataset of businesses or consumers along with details on the purchaser, items which can be small",businesses;consumers;purchaser;items
" dataset of businesses or consumers along with details on the purchaser, items , what's purchased",businesses;consumers;purchaser;items;what's purchased
"businesses or consumers, purchaser, items , what's purchased, and if possible leads or opportunities",businesses;consumers;purchaser;items;what's purchased
sample datasets of buying information,buying
large sample files with multidimensional data,multidimensional
large data with multidimensional ,multidimensional
multidimensional categorical or quantitative data,multidimensional;categorical;quantitative
"multidimensional data,20 variables",20;multidimensional
"large sample files with multidimensional data, from spatio-temporal weather simulations to health studies,  with categorical and quantitative data",multidimensional;spatio-temporal weather simulations;health;categorical;quantitative
large scale multidimensional  datasets ,multidimensional
dataset about spatio-temporal weather simulations to health studies or preferably anything with 20 variables.,20;spatio-temporal weather simulations;health
categorical and mostly quantitative dataset,categorical;quantitative
"large, multidimensional, categorical and mostly quantitative, spatio-temporal weather simulations, health studies, 20 variables",20;multidimensional;categorical;quantitative;spatio-temporal weather simulations;health
spatio-temporal weather datasets,spatio-temporal weather
sample graph of web pages link,graph;web pages;link
web pages data with web graph about links between the pages,graph;web pages;links
"web graph of web pages, which represents the links between the web pages",graph;web pages;links;web pages
"web pages, and the web graph corresponding to them",graph;web pages
"dataset of web pages, and the web graph represents the links between the pages,  transition matrix, for  PageRank",graph;web pages;links
web pages datasets with its' corresponding web graph,graph;web pages
"a dataset of web pages, and the web graph corresponding to them",graph;web pages
"sample dataset of web pages, and the web graph corresponding to them",graph;web pages
"web graph, links between the pages",graph;links;pages
datasets of web pages and web graph,graph;web pages;web graph
"area code in the United States, and city/state",United States;area code;city;state
dataset including every area code in the United States and its major city/state,United States;area code;city;state
area codes of  the major city/state in the United States,United States;area codes;city;state
"area code , city/state in the United States",United States;area code;city;state
"dataset that includes every area code in the United States, and the major city/state matching each values",United States;area code;city;state
US area code dataset,US;area code
"a dataset that includes every area code in the United States, and the major city/state matching each values",United States;area code;city;state
"dataset that includes every area code in the United States, and the major city/state matching each values. ",United States;area code;city;state
"area code in the United States, major city/state matching each values",United States;area code;city;state
datasets contains matching of major cities and area codes,cities;area codes
translation datasets in different programming languages,translation;programming languages
translation programming languages datasets with pair of code in two languages,translation;programming languages;code
pairs of sentences in two different programming languages that mean the same thing,sentences;programming language
"translation datasets,pairs of sentences in two different natural languages that mean the same thing",translation;sentences;natural languages
"translation datasets include  pairs of programming language sentences in two different languages that mean the same thing, code",translation;programming language;sentences
translation datasets,translation
dataset similar to translation dataset where there are pairs of sentences in two different languages,translation;sentences;languages
 translation datasets where there are pairs of sentences in two different languages that mean the same thing,translation;sentences;languages
"pairs of sentences in two different languages that mean the same thing, programming languages, code",sentences;languages;programming languages
translation datasets in form of pairs of sentences,translation;sentences
nationally graduation rates by degree field 60s,60s;graduation rates;degree field
dataset on graduation rates by degree field,graduation rates;degree field
 graduation rates by degree field,graduation rates;degree field
"graduation rates,degree field,history",graduation rates;degree field
 data set on graduation rates by degree field for as far back as the 60s,60s;graduation rates;degree field
graduation rates datasets,graduation rates
a data set on graduation rates by degree field for as far back as the 60s if possible,60s;graduation rates;degree field
dataset on graduation rates by degree field for as far back as the 60s if possible.,60s;graduation rates;degree field
"nationally , state by state if possible, graduation rates by degree field, back to the 60s",60s;graduation rates;degree field
graduation rates datasets by degree field ,graduation rates;degree field
"human body size measurements shoulder width, arm length",human body;shoulder width;arm length
human body size measurements dataset,human body
human body size measurements dataset,human body
" human body size measurements,shoulder width, arm length, bust/chest circumference, waist circumference, hips, inseam, height",human body;shoulder width;arm length;bust/chest circumference;waist circumference;hips;inseam;height
"dataset has human body size measurements includes: shoulder width, arm length, bust/chest circumference, waist circumference, hips, inseam, height",human body;shoulder width;arm length;bust/chest circumference;waist circumference;hips;inseam;height
human body size measurements datasets,human body
a dataset that has human body size measurements as more as possible,human body
 dataset that has human body size measurements ,human body
"human body size measurements, shoulder width, arm length, bust/chest circumference, waist circumference, hips, inseam, height and neck size",human body;shoulder width;arm length;bust/chest circumference;waist circumference;hips;inseam;height;neck size
datasets contains human body size measurements,human body
median household income/wages 20 years US Japan,20 years;US;Japan;median household;income;wages
dataset about median household income/wages,median household;income;wages
